Team,Pos,Player,Team,Eligible,R,HR,RBI,SBN,AVG,TB+BB+HBP,IP,NW,K,SV,ERA,WHIP
HELL TOUPEES,P,Jason Foley,DET,P,,,,,,,12.2,-1,10,2,1.42,0.868
HELL TOUPEES,P,Colin Poche,TB,P,,,,,,,10.1,2,4,0,1.74,1.452
KINGSTA'S QUARRY,P,Hunter Brown,HOU,P,,,,,,,30.1,3,32,0,2.37,1.055
KINGSTA'S QUARRY,P,Jon Gray,TEX,P,,,,,,,25.1,0,17,0,3.91,1.342
KINGSTA'S QUARRY,P,Michael Kopech,CHW,P,,,,,,,25.2,-3,27,0,7.01,1.714
KINGSTA'S QUARRY,P,Grayson Rodriguez,BAL,P,,,,,,,24.1,1,34,0,4.07,1.397
KINGSTA'S QUARRY,P,Framber Valdez,HOU,P,,,,,,,39,-1,37,0,2.54,1.154
KINGSTA'S QUARRY,P,Carlos Estevez,LAA,P,,,,,,,13.2,-1,16,6,1.32,1.098
KINGSTA'S QUARRY,P,Zach Jackson,OAK,P,,,,,,,12.2,1,16,0,2.13,1.579
KINGSTA'S QUARRY,P,Erik Swanson,TOR,P,,,,,,,13.2,1,19,0,1.32,0.732
KINGSTA'S QUARRY,P,Yonny Chirinos,TB,P,,,,,,,14,1,8,0,0.64,0.571
KINGSTA'S QUARRY,P,Bailey Ober,MIN,P,,,,,,,11.1,1,10,0,1.59,1.059
KINGSTA'S QUARRY,P,Luis Severino,NYY,P,,,,,,,0,0,0,0,0,0
KINGSTA'S QUARRY,P,Garrett Whitlock,BOS,P,,,,,,,16,-1,11,0,6.19,1.375
KINGSTA'S QUARRY,P,Reynaldo Lopez,CHW,P,,,,,,,12.1,-2,19,3,8.76,1.703
KINGSTA'S QUARRY,P,Carlos Rodon,NYY,P,,,,,,,0,0,0,0,0,0
L-TRAIN,P,Brayan Bello,BOS,P,,,,,,,12.1,-1,14,0,6.57,1.865
L-TRAIN,P,Tanner Bibee,CLE,P,,,,,,,5.2,1,8,0,1.59,1.059
L-TRAIN,P,Reid Detmers,LAA,P,,,,,,,26,-2,31,0,4.85,1.385
L-TRAIN,P,Zach Eflin,TB,P,,,,,,,21,3,21,0,3,1.143
L-TRAIN,P,Nathan Eovaldi,TEX,P,,,,,,,36.2,1,39,0,3.93,1.145
L-TRAIN,P,Kevin Gausman,TOR,P,,,,,,,38.2,0,54,0,2.33,1.009
L-TRAIN,P,Brad Keller,KC,P,,,,,,,30.1,0,24,0,3.56,1.582
L-TRAIN,P,Jhoan Duran,MIN,P,,,,,,,10.2,-1,14,6,2.53,1.031
L-TRAIN,P,Matthew Boyd,DET,P,,,,,,,24.2,-1,22,0,5.47,1.459
L-TRAIN,P,Ricky Tiedemann,TOR,P,,,,,,,0,0,0,0,0,0
L-TRAIN,P,Will Smith,TEX,P,,,,,,,9.1,-1,11,3,1.93,0.857
L-TRAIN,P,Andres Munoz,SEA,P,,,,,,,3.1,0,3,1,0,1.5
MAD MANTAS,P,Luis Garcia,HOU,P,,,,,,,27,0,31,0,4,1.296
MAD MANTAS,P,Corey Kluber,BOS,P,,,,,,,29.1,-3,27,0,6.44,1.398
MAD MANTAS,P,Pablo Lopez,MIN,P,,,,,,,36,0,46,0,4,1.111
MAD MANTAS,P,Cal Quantrill,CLE,P,,,,,,,32.1,-1,17,0,4.73,1.485
MAD MANTAS,P,Felix Bautista,BAL,P,,,,,,,13.2,1,25,7,1.32,1.171
MAD MANTAS,P,Michael King,NYY,P,,,,,,,15.2,-1,17,1,1.72,1.149
MAD MANTAS,P,Rafael Montero,HOU,P,,,,,,,13,0,18,1,2.77,1.462
MAD MANTAS,P,John Schreiber,BOS,P,,,,,,,13,1,16,0,2.77,1.462
MAD MANTAS,P,Sonny Gray,MIN,P,,,,,,,35,4,41,0,0.77,1.057
MAD MANTAS,P,Lance McCullers Jr.,HOU,P,,,,,,,0,0,0,0,0,0
MAD MANTAS,P,Frankie Montas,NYY,P,,,,,,,0,0,0,0,0,0
MASS STATE BENINTENDIARY,P,Chris Bassitt,TOR,P,,,,,,,33,1,28,0,5.18,1.242
MASS STATE BENINTENDIARY,P,Shane Bieber,CLE,P,,,,,,,37.2,1,26,0,3.11,1.142
MASS STATE BENINTENDIARY,P,Andrew Heaney,TEX,P,,,,,,,24.2,0,26,0,4.38,1.216
MASS STATE BENINTENDIARY,P,Bryan Abreu,HOU,P,,,,,,,14.1,0,22,2,0.63,0.837
MASS STATE BENINTENDIARY,P,Jason Adam,TB,P,,,,,,,10.1,0,10,0,1.74,0.968
MASS STATE BENINTENDIARY,P,Pete Fairbanks,TB,P,,,,,,,7.2,0,6,3,0,0.913
MASS STATE BENINTENDIARY,P,Kendall Graveman,CHW,P,,,,,,,11.1,-1,12,0,5.56,1.324
MASS STATE BENINTENDIARY,P,Chris Martin,BOS,P,,,,,,,8,-1,3,0,2.25,1.5
MASS STATE BENINTENDIARY,P,Dane Dunning,TEX,P,,,,,,,20.1,2,11,0,1.77,0.836
MASS STATE BENINTENDIARY,P,Jose Urquidy,HOU,P,,,,,,,27.2,0,23,0,5.2,1.554
PRESTIGE WORLDWIDE,P,Logan Allen,CLE,P,,,,,,,11,0,16,0,2.45,1.091
PRESTIGE WORLDWIDE,P,Zack Greinke,KC,P,,,,,,,31,-4,22,0,6.1,1.452
PRESTIGE WORLDWIDE,P,Shane McClanahan,TB,P,,,,,,,34,5,42,0,2.12,1.088
PRESTIGE WORLDWIDE,P,Eduardo Rodriguez,DET,P,,,,,,,36.2,0,30,0,2.21,0.873
PRESTIGE WORLDWIDE,P,Louie Varland,MIN,P,,,,,,,6,0,8,0,4.5,1.167
PRESTIGE WORLDWIDE,P,Yusei Kikuchi,TOR,P,,,,,,,27,4,28,0,3,1.111
PRESTIGE WORLDWIDE,P,Alex Lange,DET,P,,,,,,,12.2,1,15,3,1.42,0.947
PRESTIGE WORLDWIDE,P,Jose Leclerc,TEX,P,,,,,,,9.2,-1,9,1,0.93,1.138
PRESTIGE WORLDWIDE,P,Jacob deGrom,TEX,P,,,,,,,30.1,2,45,0,2.67,0.758
PRESTIGE WORLDWIDE,P,Tyler Glasnow,TB,P,,,,,,,0,0,0,0,0,0
PRESTIGE WORLDWIDE,P,James Paxton,BOS,P,,,,,,,0,0,0,0,0,0
PRESTIGE WORLDWIDE,P,Liam Hendriks,CHW,P,,,,,,,0,0,0,0,0,0
SMALL TRAPPED IN A BOX,P,Taj Bradley,TB,P,,,,,,,15.1,3,23,0,3.52,0.913
SMALL TRAPPED IN A BOX,P,Luis Castillo,SEA,P,,,,,,,34.2,2,38,0,1.82,0.923
SMALL TRAPPED IN A BOX,P,Dylan Cease,CHW,P,,,,,,,30.1,1,37,0,4.15,1.385
SMALL TRAPPED IN A BOX,P,Kyle Gibson,BAL,P,,,,,,,34.1,4,27,0,3.93,1.311
SMALL TRAPPED IN A BOX,P,Kutter Crawford,BOS,P,,,,,,,24.1,0,24,0,3.7,0.904
SMALL TRAPPED IN A BOX,P,Kenley Jansen,BOS,P,,,,,,,8.2,1,12,6,1.04,1.038
SMALL TRAPPED IN A BOX,P,Ron Marinaccio,NYY,P,,,,,,,11.2,-1,18,0,2.31,0.943
SMALL TRAPPED IN A BOX,P,Jordan Romano,TOR,P,,,,,,,12.1,0,16,9,3.65,1.216
SMALL TRAPPED IN A BOX,P,Kyle Bradish,BAL,P,,,,,,,14.2,0,14,0,6.14,1.841
SMALL TRAPPED IN A BOX,P,Martin Perez,TEX,P,,,,,,,33.2,3,26,0,2.41,1.396
SMALL TRAPPED IN A BOX,P,Chris Sale,BOS,P,,,,,,,29.1,0,35,0,6.75,1.466
